"('Attribute', 'schema_name')","('Attribute', 'method_name')","('Attribute', 'dataset_type')","('Attribute', 'dataset_name')","('Attribute', 'curve_name')","('Attribute', 'label_name')","('Attribute', 'online')","('Eval', ('Annotation Error',))","('Eval', ('Jaccard Index',))","('Eval', ('Rand Index',))","('Eval', ('event-based f1 under pa with mode log', 'f1'))","('Eval', ('event-based f1 under pa with mode log', 'precision'))","('Eval', ('event-based f1 under pa with mode log', 'recall'))","('Eval', ('best f1 under pa', 'f1'))","('Eval', ('best f1 under pa', 'precision'))","('Eval', ('best f1 under pa', 'recall'))","('Eval', ('Run Length MSE',))","('Eval', ('Run Length MSRE',))","('Eval', ('Detection Delay', 'delay_mean'))","('Eval', ('Detection Delay', 'delay_std'))","('Eval', ('Detection Delay', 'delay_pct(90)'))","('Eval', ('Detection Delay', 'delay_pct(70)'))","('Eval', ('Detection Delay', 'delay_pct(50)'))","('Eval', ('Detection Delay', 'delay_pct(30)'))","('Eval', ('Detection Delay', 'delay_pct(10)'))"
Naive,BinSeg,TS4CD,AlanTuringTCPD,gdp_japan,ChangePoint,No,0.0,0.78125,0.8905021173623715,0.05882352941176464,0.030303030303030304,0.9999999999999989,0.05882352941176464,0.030303030303030304,0.9999999999999989,102.44827586206897,10.121673570218958,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,gdp_japan,ReportPoint,No,,,,,,,,,,,,25.0,0.0,25.0,25.0,25.0,25.0,25.0
Naive,BinSeg,TS4CD,AlanTuringTCPD,gdp_japan,RunLength,No,,,,,,,,,,103.86206896551724,10.191274158098055,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,global_co2,ChangePoint,No,1.0,0.49490705373058314,0.825336071695295,0.04278197208876682,0.021858576206402296,0.9999999999999996,0.04278197208876682,0.021858576206402296,0.9999999999999996,671.2019230769231,25.907549622706668,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,global_co2,ReportPoint,No,,,,,,,,,,,,34.5,22.0,52.1,43.3,34.5,25.7,16.9
Naive,BinSeg,TS4CD,AlanTuringTCPD,global_co2,RunLength,No,,,,,,,,,,668.0096153846155,25.845864196525135,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,homeruns,ChangePoint,No,1.75,0.6363172997123969,0.9023069679849341,0.5348200312989038,0.7535714285714279,0.6964285714285707,0.5348200312989038,0.7535714285714279,0.6964285714285707,367.51906779661016,19.04049112462932,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,homeruns,ReportPoint,No,,,,,,,,,,,,60.5,11.451958216102856,71.5,66.3,60.25,55.25,48.65
Naive,BinSeg,TS4CD,AlanTuringTCPD,homeruns,RunLength,No,,,,,,,,,,359.646186440678,18.811909305942855,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,iceland_tourism,ChangePoint,No,0.0,0.7588584255250922,0.8636109842139993,0.011834319526627205,0.005952380952380952,0.9999999999999989,0.011834319526627205,0.005952380952380952,0.9999999999999989,3137.21608040201,56.010856808318955,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,iceland_tourism,ReportPoint,No,,,,,,,,,,,,31.0,0.0,31.0,31.0,31.0,31.0,31.0
Naive,BinSeg,TS4CD,AlanTuringTCPD,iceland_tourism,RunLength,No,,,,,,,,,,3105.4422110552764,55.72649469556897,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,jfk_passengers,ChangePoint,No,0.25,0.8700905363464149,0.9482036549910009,0.007564616801446104,0.0037973424083230585,0.9999999999999991,0.007564616801446104,0.0037973424083230585,0.9999999999999991,4837.225858369099,66.94746859750964,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,jfk_passengers,ReportPoint,No,,,,,,,,,,,,85.25,7.0,90.85,88.05,85.25,82.45,79.65
Naive,BinSeg,TS4CD,AlanTuringTCPD,jfk_passengers,RunLength,No,,,,,,,,,,4828.993025751073,66.93196640853134,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,lga_passengers,ChangePoint,No,2.25,0.4300342831083481,0.8589736489916471,0.034269639560167625,0.02152091609052741,0.6607142857142856,0.034269639560167625,0.02152091609052741,0.6607142857142856,6200.793991416309,78.69344724119512,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,lga_passengers,ReportPoint,No,,,,,,,,,,,,62.4375,42.25482218261662,110.22500000000001,78.37499999999999,52.125,36.0,20.1
Naive,BinSeg,TS4CD,AlanTuringTCPD,lga_passengers,RunLength,No,,,,,,,,,,6267.218884120171,79.12000215083435,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,measles,ChangePoint,No,9.0,0.3403042596348884,0.6843827773222275,0.013071895424836588,0.006578947368421052,0.9999999999999989,0.013071895424836588,0.006578947368421052,0.9999999999999989,152896.9493414387,391.0203950453719,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,measles,ReportPoint,No,,,,,,,,,,,,58.0,0.0,58.0,58.0,58.0,58.0,58.0
Naive,BinSeg,TS4CD,AlanTuringTCPD,measles,RunLength,No,,,,,,,,,,152283.90476190476,390.23570410958655,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,nile,ChangePoint,No,1.0,0.5883838383838383,0.7891919191919192,0.06666666666666658,0.034482758620689655,0.9999999999999988,0.06666666666666658,0.034482758620689655,0.9999999999999988,604.95,24.595731336961705,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,nile,ReportPoint,No,,,,,,,,,,,,72.0,0.0,72.0,72.0,72.0,72.0,72.0
Naive,BinSeg,TS4CD,AlanTuringTCPD,nile,RunLength,No,,,,,,,,,,604.95,24.595731336961705,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,occupancy,ChangePoint,No,4.6,0.6203748145505074,0.9303669574572584,0.06697114363507986,0.054898031345946716,0.6484848484848482,0.06697114363507986,0.054898031345946716,0.6484848484848482,3307.093885601578,51.47452254496392,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,occupancy,ReportPoint,No,,,,,,,,,,,,107.3409090909091,44.30044174364375,154.76,131.92000000000002,104.4,84.44000000000001,59.839999999999996
Naive,BinSeg,TS4CD,AlanTuringTCPD,occupancy,RunLength,No,,,,,,,,,,3262.930966469428,51.21065144196401,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,ozone,ChangePoint,No,1.25,0.45737582647960007,0.7186408106219427,0.08225806451612894,0.04310344827586207,0.999999999999999,0.08225806451612894,0.04310344827586207,0.999999999999999,418.31944444444446,20.44400220097129,,,,,,,
Naive,BinSeg,TS4CD,AlanTuringTCPD,ozone,ReportPoint,No,,,,,,,,,,,,27.75,1.75,29.15,28.45,27.75,27.05,26.35
Naive,BinSeg,TS4CD,AlanTuringTCPD,ozone,RunLength,No,,,,,,,,,,418.31944444444446,20.44400220097129,,,,,,,
