"('Attribute', 'schema_name')","('Attribute', 'method_name')","('Attribute', 'dataset_type')","('Attribute', 'dataset_name')","('Attribute', 'curve_name')","('Attribute', 'label_name')","('Attribute', 'online')","('Eval', 'eval_item')","('Eval', 'value')"
Naive,BinSeg,TS4CD,AlanTuringTCPD,brent_spot,ReportPoint,No,"('Detection Delay', 'delay_pct(10)')",49.32
Naive,BinSeg,TS4CD,AlanTuringTCPD,brent_spot,RunLength,No,"('Run Length MSE',)",3828.439759036145
Naive,BinSeg,TS4CD,AlanTuringTCPD,brent_spot,RunLength,No,"('Run Length MSRE',)",59.357517678134215
Naive,BinSeg,TS4CD,AlanTuringTCPD,businv,ChangePoint,No,"('Annotation Error',)",2.25
Naive,BinSeg,TS4CD,AlanTuringTCPD,businv,ChangePoint,No,"('Jaccard Index',)",0.39611479722930354
Naive,BinSeg,TS4CD,AlanTuringTCPD,businv,ChangePoint,No,"('Rand Index',)",0.8647787085773593
Naive,BinSeg,TS4CD,AlanTuringTCPD,businv,ChangePoint,No,"('event-based f1 under pa with mode log', 'f1')",0.02532507163788164
Naive,BinSeg,TS4CD,AlanTuringTCPD,businv,ChangePoint,No,"('event-based f1 under pa with mode log', 'precision')",0.01282814575374196
Naive,BinSeg,TS4CD,AlanTuringTCPD,businv,ChangePoint,No,"('event-based f1 under pa with mode log', 'recall')",0.9999999999999996
Naive,BinSeg,TS4CD,AlanTuringTCPD,businv,ChangePoint,No,"('best f1 under pa', 'f1')",0.02532507163788164
Naive,BinSeg,TS4CD,AlanTuringTCPD,businv,ChangePoint,No,"('best f1 under pa', 'precision')",0.01282814575374196
Naive,BinSeg,TS4CD,AlanTuringTCPD,businv,ChangePoint,No,"('best f1 under pa', 'recall')",0.9999999999999996
Naive,BinSeg,TS4CD,AlanTuringTCPD,businv,ChangePoint,No,"('Run Length MSE',)",2555.109422492401
Naive,BinSeg,TS4CD,AlanTuringTCPD,businv,ChangePoint,No,"('Run Length MSRE',)",50.539770397281465
Naive,BinSeg,TS4CD,AlanTuringTCPD,businv,ReportPoint,No,"('Detection Delay', 'delay_mean')",105.54166666666667
Naive,BinSeg,TS4CD,AlanTuringTCPD,businv,ReportPoint,No,"('Detection Delay', 'delay_std')",20.258716173791473
Naive,BinSeg,TS4CD,AlanTuringTCPD,businv,ReportPoint,No,"('Detection Delay', 'delay_pct(90)')",122.525
Naive,BinSeg,TS4CD,AlanTuringTCPD,businv,ReportPoint,No,"('Detection Delay', 'delay_pct(70)')",117.075
Naive,BinSeg,TS4CD,AlanTuringTCPD,businv,ReportPoint,No,"('Detection Delay', 'delay_pct(50)')",111.625
Naive,BinSeg,TS4CD,AlanTuringTCPD,businv,ReportPoint,No,"('Detection Delay', 'delay_pct(30)')",98.875
Naive,BinSeg,TS4CD,AlanTuringTCPD,businv,ReportPoint,No,"('Detection Delay', 'delay_pct(10)')",86.125
Naive,BinSeg,TS4CD,AlanTuringTCPD,businv,RunLength,No,"('Run Length MSE',)",2512.679331306991
Naive,BinSeg,TS4CD,AlanTuringTCPD,businv,RunLength,No,"('Run Length MSRE',)",50.11866629488838
Naive,BinSeg,TS4CD,AlanTuringTCPD,children_per_woman,ChangePoint,No,"('Annotation Error',)",0.6
Naive,BinSeg,TS4CD,AlanTuringTCPD,children_per_woman,ChangePoint,No,"('Jaccard Index',)",0.8014037090684806
Naive,BinSeg,TS4CD,AlanTuringTCPD,children_per_woman,ChangePoint,No,"('Rand Index',)",0.9318952062430323
Naive,BinSeg,TS4CD,AlanTuringTCPD,children_per_woman,ChangePoint,No,"('event-based f1 under pa with mode log', 'f1')",0.024298664222164562
Naive,BinSeg,TS4CD,AlanTuringTCPD,children_per_woman,ChangePoint,No,"('event-based f1 under pa with mode log', 'precision')",0.012317468974810774
Naive,BinSeg,TS4CD,AlanTuringTCPD,children_per_woman,ChangePoint,No,"('event-based f1 under pa with mode log', 'recall')",0.9999999999999997
Naive,BinSeg,TS4CD,AlanTuringTCPD,children_per_woman,ChangePoint,No,"('best f1 under pa', 'f1')",0.024298664222164562
Naive,BinSeg,TS4CD,AlanTuringTCPD,children_per_woman,ChangePoint,No,"('best f1 under pa', 'precision')",0.012317468974810774
Naive,BinSeg,TS4CD,AlanTuringTCPD,children_per_woman,ChangePoint,No,"('best f1 under pa', 'recall')",0.9999999999999997
Naive,BinSeg,TS4CD,AlanTuringTCPD,children_per_woman,ChangePoint,No,"('Run Length MSE',)",1606.4486666666667
Naive,BinSeg,TS4CD,AlanTuringTCPD,children_per_woman,ChangePoint,No,"('Run Length MSRE',)",40.046993098889295
Naive,BinSeg,TS4CD,AlanTuringTCPD,children_per_woman,ReportPoint,No,"('Detection Delay', 'delay_mean')",39.95
Naive,BinSeg,TS4CD,AlanTuringTCPD,children_per_woman,ReportPoint,No,"('Detection Delay', 'delay_std')",11.491544392256444
Naive,BinSeg,TS4CD,AlanTuringTCPD,children_per_woman,ReportPoint,No,"('Detection Delay', 'delay_pct(90)')",50.2
Naive,BinSeg,TS4CD,AlanTuringTCPD,children_per_woman,ReportPoint,No,"('Detection Delay', 'delay_pct(70)')",44.2
Naive,BinSeg,TS4CD,AlanTuringTCPD,children_per_woman,ReportPoint,No,"('Detection Delay', 'delay_pct(50)')",39.6
Naive,BinSeg,TS4CD,AlanTuringTCPD,children_per_woman,ReportPoint,No,"('Detection Delay', 'delay_pct(30)')",35.14
Naive,BinSeg,TS4CD,AlanTuringTCPD,children_per_woman,ReportPoint,No,"('Detection Delay', 'delay_pct(10)')",29.979999999999997
Naive,BinSeg,TS4CD,AlanTuringTCPD,children_per_woman,RunLength,No,"('Run Length MSE',)",1587.1466666666668
Naive,BinSeg,TS4CD,AlanTuringTCPD,children_per_woman,RunLength,No,"('Run Length MSRE',)",39.807148600062725
Naive,BinSeg,TS4CD,AlanTuringTCPD,co2_canada,ChangePoint,No,"('Annotation Error',)",2.4
Naive,BinSeg,TS4CD,AlanTuringTCPD,co2_canada,ChangePoint,No,"('Jaccard Index',)",0.6078159867478107
